movie,nation,2020/01/05,2020/01/12,2020/01/19,2020/01/26,2020/02/02,2020/02/09,2020/02/16,2020/02/23,2020/03/01,2020/03/08,2020/03/15,2020/03/22,2020/03/29,2020/04/05,2020/04/12,2020/04/19,2020/04/26,2020/05/03,2020/05/10,2020/05/17,2020/05/24,2020/05/31,2020/06/07,2020/06/14,2020/06/21,2020/06/28,2020/07/05,2020/07/12,2020/07/19,2020/07/26,2020/08/02,2020/08/09,2020/08/16,2020/08/23,2020/08/30,2020/09/06,2020/09/13,2020/09/20,2020/09/27,2020/10/04,2020/10/11,2020/10/18,2020/10/25,2020/11/01,2020/11/08,2020/11/15,2020/11/22,2020/11/29,2020/12/06,2020/12/13,2020/12/20,2020/12/27
屍憶,中華民國,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
破處,中華民國,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20328,8362,2598,417,93,0,195,217,85,26,28,104,105,30,0,0,24,35,7,0,0,0,0,0,0
三八新娘憨子婿,中華民國,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
打噴嚏,中華民國,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69172,36022,15257,4882,1833,236,2,0,0,380,824,621,348,139,28,0,0,0,0,0,0,0,0
野雀之詩,中華民國,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,558,127,62,10,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
可不可以，你也剛好喜歡我,中華民國,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,0,16837,70391,137947,54391,29683,13867,6724,4443,2124,1106,1014,882,198,212,65,0,120,213,426,480
詭絲,中華民國,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
阿紫,中華民國,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,548,220,103,40,14,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
哈囉少女,中華民國,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9023,4054,1018,123,0,0,116,262,239,122,45,40,15,0,0,0,0,0,0,0
逆者,中華民國,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,604,570,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
怪胎,中華民國,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56876,52660,37312,13980,5228,1863,557,673,452,194,98,138,124,37,14,4,419,634,472,281
逃出立法院,中華民國,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6745,2242,237,17,0,0,151,207,82,103,81,24,0,0,0,0,0,0,0
